class, missed_branch, covered_branch, total_branch
com.thoughtworks.xstream.XStream,59,90,149
com.thoughtworks.xstream.io.json.JsonWriter,5,33,38
com.thoughtworks.xstream.converters.basic.StringBuilderConverter,0,2,2
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$ArraysList,0,4,4
com.thoughtworks.xstream.io.json.JettisonMappedXmlDriver,7,3,10
com.thoughtworks.xstream.converters.javabean.JavaBeanConverter,4,18,22
com.thoughtworks.xstream.mapper.SystemAttributeAliasingMapper,1,5,6
com.thoughtworks.xstream.security.ProxyTypePermission,4,6,10
com.thoughtworks.xstream.io.json.AbstractJsonWriter$IllegalWriterStateException,13,0,13
com.thoughtworks.xstream.converters.extended.EncodedByteArrayConverter,1,13,14
com.thoughtworks.xstream.converters.reflection.XStream12FieldKeySorter$1,0,2,2
com.thoughtworks.xstream.io.xml.Dom4JDriver,8,0,8
com.thoughtworks.xstream.io.xml.XppReader,2,3,5
com.thoughtworks.xstream.converters.extended.CurrencyConverter,0,2,2
com.thoughtworks.xstream.core.util.PresortedMap$ArraySetComparator,24,0,24
com.thoughtworks.xstream.security.NoPermission,1,3,4
com.thoughtworks.xstream.converters.extended.ToAttributedValueConverter$1,5,21,26
com.thoughtworks.xstream.core.util.Base64Encoder,0,34,34
com.thoughtworks.xstream.core.util.Cloneables,0,10,10
com.thoughtworks.xstream.core.util.SerializationMembers,12,56,68
com.thoughtworks.xstream.converters.basic.BigDecimalConverter,0,2,2
com.thoughtworks.xstream.io.xml.XomReader,4,4,8
com.thoughtworks.xstream.mapper.OuterClassMapper,5,21,26
com.thoughtworks.xstream.converters.javabean.BeanProvider,14,20,34
com.thoughtworks.xstream.io.json.AbstractJsonWriter,34,167,201
com.thoughtworks.xstream.core.util.CompositeClassLoader,11,11,22
com.thoughtworks.xstream.io.binary.ReaderDepthState,2,16,18
com.thoughtworks.xstream.security.WildcardTypePermission,1,13,14
com.thoughtworks.xstream.io.binary.BinaryStreamReader,9,14,23
com.thoughtworks.xstream.mapper.ClassAliasingMapper,0,14,14
com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,4,60,64
com.thoughtworks.xstream.security.ExplicitTypePermission$1,1,3,4
com.thoughtworks.xstream.io.ReaderWrapper,2,0,2
com.thoughtworks.xstream.core.util.ThreadSafePropertyEditor,1,1,2
com.thoughtworks.xstream.converters.reflection.FieldDictionary,11,35,46
com.thoughtworks.xstream.mapper.EnumMapper,4,28,32
com.thoughtworks.xstream.core.util.FastStack,4,6,10
com.thoughtworks.xstream.converters.javabean.JavaBeanConverter$2,0,2,2
com.thoughtworks.xstream.converters.javabean.JavaBeanConverter$1,1,5,6
com.thoughtworks.xstream.io.xml.StaxReader,0,5,5
com.thoughtworks.xstream.converters.extended.PathConverter,12,2,14
com.thoughtworks.xstream.mapper.MapperWrapper,0,10,10
com.thoughtworks.xstream.io.StatefulWriter,0,16,16
com.thoughtworks.xstream.io.xml.JDomWriter,0,2,2
com.thoughtworks.xstream.converters.extended.FileConverter,0,2,2
com.thoughtworks.xstream.io.binary.BinaryStreamWriter$IdRegistry,0,2,2
com.thoughtworks.xstream.converters.extended.ISO8601GregorianCalendarConverter,3,3,6
com.thoughtworks.xstream.core.util.PrioritizedList$PrioritizedItem,2,2,4
com.thoughtworks.xstream.core.util.ObjectIdDictionary,0,2,2
com.thoughtworks.xstream.mapper.CGLIBMapper,10,0,10
com.thoughtworks.xstream.converters.reflection.ExternalizableConverter$1,0,2,2
com.thoughtworks.xstream.converters.extended.SqlTimestampConverter,3,17,20
com.thoughtworks.xstream.core.util.SelfStreamingInstanceChecker,1,5,6
com.thoughtworks.xstream.mapper.SecurityMapper,1,9,10
com.thoughtworks.xstream.converters.extended.ColorConverter,1,5,6
com.thoughtworks.xstream.core.ReferenceByIdMarshaller,1,1,2
com.thoughtworks.xstream.converters.extended.DurationConverter,3,3,6
com.thoughtworks.xstream.converters.basic.DoubleConverter,1,3,4
com.thoughtworks.xstream.converters.collections.CharArrayConverter,1,5,6
com.thoughtworks.xstream.converters.extended.LookAndFeelConverter,2,4,6
com.thoughtworks.xstream.converters.collections.ArrayConverter,1,9,10
com.thoughtworks.xstream.converters.extended.JavaMethodConverter,0,16,16
com.thoughtworks.xstream.converters.enums.EnumConverter,6,6,12
com.thoughtworks.xstream.converters.collections.MapConverter,2,20,22
com.thoughtworks.xstream.XStreamer,0,2,2
com.thoughtworks.xstream.core.util.Primitives,1,3,4
com.thoughtworks.xstream.converters.enums.EnumToStringConverter,5,15,20
com.thoughtworks.xstream.security.NoTypePermission,2,2,4
com.thoughtworks.xstream.converters.extended.ISO8601DateConverter,2,2,4
com.thoughtworks.xstream.security.NullPermission,0,4,4
com.thoughtworks.xstream.core.util.WeakCache,6,18,24
com.thoughtworks.xstream.io.xml.XppDriver,0,2,2
com.thoughtworks.xstream.converters.basic.AbstractSingleValueConverter,1,1,2
com.thoughtworks.xstream.core.AbstractReferenceUnmarshaller,1,21,22
com.thoughtworks.xstream.core.AbstractReferenceMarshaller$1,0,2,2
com.thoughtworks.xstream.converters.reflection.SunLimitedUnsafeReflectionProvider,2,4,6
com.thoughtworks.xstream.core.util.CustomObjectOutputStream,2,2,4
com.thoughtworks.xstream.security.TypeHierarchyPermission,1,1,2
com.thoughtworks.xstream.core.util.OrderRetainingMap,3,5,8
com.thoughtworks.xstream.converters.enums.EnumMapConverter,3,5,8
com.thoughtworks.xstream.mapper.DynamicProxyMapper,0,4,4
com.thoughtworks.xstream.io.xml.XomDriver,1,1,2
com.thoughtworks.xstream.io.xml.Dom4JReader,6,0,6
com.thoughtworks.xstream.XStream$4,0,2,2
com.thoughtworks.xstream.XStream$3,0,2,2
com.thoughtworks.xstream.converters.basic.ByteConverter,3,5,8
com.thoughtworks.xstream.converters.extended.LocaleConverter,0,10,10
com.thoughtworks.xstream.converters.collections.TreeSetConverter,9,7,16
com.thoughtworks.xstream.io.ExtendedHierarchicalStreamWriterHelper,1,1,2
com.thoughtworks.xstream.io.xml.XppDomReader,2,2,4
com.thoughtworks.xstream.converters.collections.PropertiesConverter,1,15,16
com.thoughtworks.xstream.core.TreeMarshaller,1,9,10
com.thoughtworks.xstream.io.xml.StandardStaxDriver,3,1,4
com.thoughtworks.xstream.core.TreeUnmarshaller,2,12,14
com.thoughtworks.xstream.mapper.AnnotationMapper$UnprocessedTypesSet,3,15,18
com.thoughtworks.xstream.io.xml.DomWriter,0,6,6
com.thoughtworks.xstream.core.ReferenceByXPathMarshaller,0,4,4
com.thoughtworks.xstream.mapper.AnnotationMapper,45,131,176
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$MappingList,5,11,16
com.thoughtworks.xstream.converters.extended.JavaFieldConverter,1,11,12
com.thoughtworks.xstream.security.PrimitiveTypePermission,4,10,14
com.thoughtworks.xstream.io.xml.StaxWriter,5,35,40
com.thoughtworks.xstream.converters.basic.UUIDConverter,0,2,2
com.thoughtworks.xstream.converters.extended.SubjectConverter,0,6,6
com.thoughtworks.xstream.core.util.PresortedMap,4,4,8
com.thoughtworks.xstream.mapper.DefaultMapper,1,7,8
com.thoughtworks.xstream.converters.basic.StringConverter,2,10,12
com.thoughtworks.xstream.mapper.ImmutableTypesMapper,0,6,6
com.thoughtworks.xstream.converters.reflection.CGLIBEnhancedConverter$ReverseEngineeredCallbackFilter,2,0,2
com.thoughtworks.xstream.converters.collections.BitSetConverter,0,10,10
com.thoughtworks.xstream.core.util.CustomObjectInputStream$CustomGetField,13,7,20
com.thoughtworks.xstream.converters.extended.ThrowableConverter,2,6,8
com.thoughtworks.xstream.converters.extended.SqlTimeConverter,0,2,2
com.thoughtworks.xstream.io.xml.TraxSource,11,13,24
com.thoughtworks.xstream.mapper.AttributeMapper,13,21,34
com.thoughtworks.xstream.converters.ErrorWritingException,6,14,20
com.thoughtworks.xstream.security.AnyTypePermission,1,3,4
com.thoughtworks.xstream.converters.extended.ToAttributedValueConverter,24,42,66
com.thoughtworks.xstream.mapper.AttributeAliasingMapper,0,4,4
com.thoughtworks.xstream.annotations.AnnotationReflectionConverter,0,8,8
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper$ImplicitCollectionMapperForClass,5,33,38
com.thoughtworks.xstream.converters.reflection.PureJavaReflectionProvider,18,18,36
com.thoughtworks.xstream.security.ForbiddenClassException,0,2,2
com.thoughtworks.xstream.converters.extended.UseAttributeForEnumMapper,0,6,6
com.thoughtworks.xstream.io.xml.JDom2Writer,0,2,2
com.thoughtworks.xstream.converters.reflection.AbstractAttributedCharacterIteratorAttributeConverter$Reflections,1,1,2
com.thoughtworks.xstream.converters.extended.RegexPatternConverter,0,2,2
com.thoughtworks.xstream.core.util.ObjectIdDictionary$WeakIdWrapper,4,0,4
com.thoughtworks.xstream.mapper.CachingMapper,0,4,4
com.thoughtworks.xstream.security.ArrayTypePermission,2,6,8
com.thoughtworks.xstream.converters.reflection.SerializableConverter,14,46,60
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy$XmlMapEntriesIterator$1,14,0,14
com.thoughtworks.xstream.io.xml.SaxWriter,34,34,68
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$2,2,16,18
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$1,2,14,16
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$3,0,2,2
com.thoughtworks.xstream.converters.extended.NamedArrayConverter,3,21,24
com.thoughtworks.xstream.converters.basic.CharConverter,2,10,12
