method, missed_branch, covered_branch, total_branch
com.thoughtworks.xstream.converters.reflection.CGLIBEnhancedConverter$ReverseEngineeredCallbackFilter.accept,2,0,2
com.thoughtworks.xstream.mapper.PackageAliasingMapper.<init>,0,0,0
com.thoughtworks.xstream.converters.extended.ToStringConverter.<clinit>,0,0,0
com.thoughtworks.xstream.io.json.JsonWriter.startArray,0,2,2
com.thoughtworks.xstream.converters.reflection.FieldDictionary.fieldsFor,0,0,0
com.thoughtworks.xstream.core.util.Base64Encoder.decode,0,6,6
com.thoughtworks.xstream.core.ReferenceByIdMarshaller.fireValidReference,1,1,2
com.thoughtworks.xstream.security.ArrayTypePermission.equals,2,2,4
com.thoughtworks.xstream.io.xml.XppDomReader.reassignCurrentElement,0,0,0
com.thoughtworks.xstream.converters.reflection.FieldDictionary.readResolve,0,0,0
com.thoughtworks.xstream.core.util.WeakCache$3.<init>,0,0,0
com.thoughtworks.xstream.XStream$3.<init>,0,0,0
com.thoughtworks.xstream.core.util.XmlHeaderAwareReader.mark,0,0,0
com.thoughtworks.xstream.persistence.XmlMap$XmlMapEntries.iterator,0,0,0
com.thoughtworks.xstream.mapper.DefaultMapper.serializedMember,0,0,0
com.thoughtworks.xstream.io.json.JsonWriter.writeNewLine,0,2,2
com.thoughtworks.xstream.converters.reflection.SerializationMethodInvoker.supportsWriteObject,0,0,0
com.thoughtworks.xstream.converters.basic.StringBufferConverter.canConvert,0,2,2
com.thoughtworks.xstream.io.binary.BinaryStreamDriver.<init>,0,0,0
com.thoughtworks.xstream.io.json.JsonWriter$Format.<clinit>,0,0,0
com.thoughtworks.xstream.io.xml.xppdom.Xpp3DomBuilder.<init>,0,0,0
com.thoughtworks.xstream.io.xml.XppReader.<init>,0,0,0
com.thoughtworks.xstream.core.JVM.loadClassForName,0,0,0
com.thoughtworks.xstream.converters.reflection.ObjectAccessException.<init>,0,0,0
com.thoughtworks.xstream.converters.extended.ThrowableConverter.marshal,0,2,2
com.thoughtworks.xstream.io.naming.NameCoderWrapper.decodeNode,0,0,0
com.thoughtworks.xstream.io.xml.StaxWriter.setValue,0,0,0
com.thoughtworks.xstream.io.xml.DomReader.getAttributeCount,0,0,0
com.thoughtworks.xstream.converters.basic.BooleanConverter.<clinit>,0,0,0
com.thoughtworks.xstream.converters.reflection.SerializableConverter$1.flush,0,0,0
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.flush,0,0,0
com.thoughtworks.xstream.XStream.aliasSystemAttribute,1,1,2
com.thoughtworks.xstream.converters.reflection.Sun14ReflectionProvider.<init>,0,0,0
com.thoughtworks.xstream.io.xml.xppdom.XppDom.getAttribute,0,2,2
com.thoughtworks.xstream.converters.reflection.ReflectionConverter.<init>,0,0,0
com.thoughtworks.xstream.io.path.PathTrackingWriter.<init>,0,0,0
com.thoughtworks.xstream.io.xml.TraxSource.createXMLReader,7,1,8
com.thoughtworks.xstream.converters.reflection.CGLIBEnhancedConverter.<clinit>,0,0,0
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper$NamedItemType.hashCode,0,2,2
com.thoughtworks.xstream.converters.reflection.ReflectionProviderWrapper.getField,0,0,0
