method,obc(%),obcc(%),gap(pp)
com.thoughtworks.xstream.mapper.ArrayMapper.realClass,100.0,75.0,25.0
com.thoughtworks.xstream.mapper.EnumMapper.serializedClass,100.0,37.5,62.5
com.thoughtworks.xstream.core.util.OrderRetainingMap.entrySet,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.Base64Encoder.encode,100.0,18.75,81.25
com.thoughtworks.xstream.io.binary.BinaryStreamReader.moveUp,50.0,12.5,37.5
com.thoughtworks.xstream.core.util.ThreadSafeSimpleDateFormat.fetchFromPool,100.0,75.0,25.0
com.thoughtworks.xstream.core.util.CompositeClassLoader.loadClass,66.66667,66.66667,0.0
com.thoughtworks.xstream.persistence.FilePersistenceStrategy.isValid,50.0,50.0,0.0
com.thoughtworks.xstream.io.xml.AbstractDocumentReader.hasMoreChildren,100.0,50.0,50.0
com.thoughtworks.xstream.mapper.EnumMapper.getConverterFromItemType,100.0,50.0,50.0
com.thoughtworks.xstream.converters.extended.ThrowableConverter.getConverter,50.0,50.0,0.0
com.thoughtworks.xstream.io.binary.BinaryStreamWriter$IdRegistry.getId,100.0,50.0,50.0
com.thoughtworks.xstream.converters.collections.TreeMapConverter.unmarshalComparator,100.0,83.33333,16.666672
com.thoughtworks.xstream.io.path.PathTracker.getPath,100.0,100.0,0.0
com.thoughtworks.xstream.mapper.SecurityMapper.addPermission,100.0,75.0,25.0
com.thoughtworks.xstream.io.path.Path.toString,100.0,33.333336,66.666664
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper$ImplicitCollectionMapperForClass.getFieldNameForItemTypeAndName,81.818184,59.090908,22.727276
com.thoughtworks.xstream.io.xml.xppdom.XppDomComparator.compareInternal,94.73685,65.789474,28.947372
com.thoughtworks.xstream.XStream.registerConverter,50.0,50.0,0.0
com.thoughtworks.xstream.XStream.registerConverterDynamically,75.0,50.0,25.0
com.thoughtworks.xstream.converters.extended.ThrowableConverter.marshal,100.0,50.0,50.0
com.thoughtworks.xstream.io.path.Path.equals,60.000004,50.0,10.000004
com.thoughtworks.xstream.converters.collections.ArrayConverter.unmarshal,100.0,75.0,25.0
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$1.visit,87.5,18.75,68.75
com.thoughtworks.xstream.io.xml.DomWriter.createNode,100.0,25.0,75.0
com.thoughtworks.xstream.persistence.FilePersistenceStrategy.getName,75.0,75.0,0.0
com.thoughtworks.xstream.converters.collections.TreeSetConverter.unmarshal,43.75,43.75,0.0
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$3.add,100.0,50.0,50.0
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper.getMapper,100.0,100.0,0.0
com.thoughtworks.xstream.io.StatefulWriter.checkClosed,100.0,50.0,50.0
com.thoughtworks.xstream.converters.extended.ToStringConverter.canConvert,100.0,100.0,0.0
com.thoughtworks.xstream.persistence.XmlArrayList.remove,100.0,50.0,50.0
com.thoughtworks.xstream.converters.collections.SingletonMapConverter.canConvert,100.0,50.0,50.0
com.thoughtworks.xstream.io.xml.xppdom.XppDom.getAttribute,100.0,50.0,50.0
com.thoughtworks.xstream.converters.javabean.BeanProvider.canInstantiate,75.0,75.0,0.0
com.thoughtworks.xstream.converters.javabean.JavaBeanConverter$2.add,100.0,50.0,50.0
com.thoughtworks.xstream.converters.extended.ToStringConverter.toString,50.0,50.0,0.0
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper$NamedItemType.hashCode,100.0,50.0,50.0
com.thoughtworks.xstream.io.xml.AbstractPullReader.readRealEvent,100.0,16.666668,83.33333
com.thoughtworks.xstream.converters.extended.ToAttributedValueConverter.fieldIsEqual,75.0,25.0,50.0
com.thoughtworks.xstream.io.xml.PrettyPrintWriter.endNode,100.0,25.0,75.0
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper$NamedItemType.<init>,100.0,100.0,0.0
com.thoughtworks.xstream.XStreamer.fromXML,100.0,50.0,50.0
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter.instantiateNewInstance,83.33333,50.0,33.33333
com.thoughtworks.xstream.security.NoPermission.allows,75.0,75.0,0.0
com.thoughtworks.xstream.io.xml.PrettyPrintWriter.finishTag,100.0,50.0,50.0
com.thoughtworks.xstream.converters.extended.ISO8601SqlTimestampConverter.fromString,100.0,75.0,25.0
com.thoughtworks.xstream.io.StatefulWriter.endNode,100.0,50.0,50.0
com.thoughtworks.xstream.converters.extended.ToAttributedValueConverter.unmarshal,61.904762,7.1428576,54.761906
com.thoughtworks.xstream.mapper.PackageAliasingMapper.realClass,100.0,37.5,62.5
com.thoughtworks.xstream.converters.reflection.SerializableConverter$1.writeToStream,100.0,50.0,50.0
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy.remove,100.0,50.0,50.0
com.thoughtworks.xstream.persistence.FilePersistenceStrategy.extractKey,66.66667,50.0,16.666672
com.thoughtworks.xstream.persistence.FilePersistenceStrategy.unescape,100.0,100.0,0.0
com.thoughtworks.xstream.converters.basic.CharConverter.canConvert,75.0,50.0,25.0
com.thoughtworks.xstream.core.ClassLoaderReference.setReference,50.0,50.0,0.0
com.thoughtworks.xstream.converters.collections.CollectionConverter.populateCollection,100.0,50.0,50.0
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter.shouldUnmarshalField,75.0,25.0,50.0
com.thoughtworks.xstream.core.util.WeakCache.containsValue,50.0,50.0,0.0
com.thoughtworks.xstream.core.util.Base64Encoder.computeResultingStringSize,100.0,75.0,25.0
com.thoughtworks.xstream.converters.reflection.SerializableConverter.doMarshal,77.27273,27.272728,50.0
com.thoughtworks.xstream.core.util.SerializationMembers.supportsReadObject,100.0,100.0,0.0
com.thoughtworks.xstream.converters.extended.ThrowableConverter.canConvert,75.0,75.0,0.0
com.thoughtworks.xstream.io.xml.xppdom.XppDom.setAttribute,100.0,50.0,50.0
com.thoughtworks.xstream.core.DefaultConverterLookup.lookupConverterForType,56.25,43.75,12.5
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper.getOrCreateMapper,100.0,50.0,50.0
com.thoughtworks.xstream.XStream.setupConverters,50.0,33.333336,16.666664
com.thoughtworks.xstream.io.xml.xppdom.XppDom.build,100.0,62.5,37.5
com.thoughtworks.xstream.converters.extended.EncodedByteArrayConverter.canConvert,83.33333,66.66667,16.666656
com.thoughtworks.xstream.core.util.WeakCache.entrySet,50.0,50.0,0.0
com.thoughtworks.xstream.io.xml.AbstractPullReader.moveUp,100.0,50.0,50.0
com.thoughtworks.xstream.converters.extended.ColorConverter.canConvert,75.0,50.0,25.0
com.thoughtworks.xstream.io.xml.PrettyPrintWriter.endOfLine,100.0,50.0,50.0
com.thoughtworks.xstream.io.xml.xppdom.XppDom.getAttributeNames,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.HierarchicalStreams.readClassType,100.0,100.0,0.0
com.thoughtworks.xstream.converters.reflection.SerializableConverter.canConvert,75.0,75.0,0.0
com.thoughtworks.xstream.mapper.DynamicProxyMapper.realClass,100.0,50.0,50.0
com.thoughtworks.xstream.converters.javabean.BeanProvider.propertyDefinedInClass,100.0,50.0,50.0
com.thoughtworks.xstream.core.TreeMarshaller.start,100.0,50.0,50.0
com.thoughtworks.xstream.persistence.XmlArrayList.add,100.0,25.0,75.0
com.thoughtworks.xstream.converters.extended.ToAttributedValueConverter.canConvert,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.SerializationMembers.callReadResolve,75.0,50.0,25.0
com.thoughtworks.xstream.mapper.ArrayMapper.serializedClass,100.0,60.000004,39.999996
com.thoughtworks.xstream.converters.collections.PropertiesConverter.canConvert,100.0,50.0,50.0
com.thoughtworks.xstream.converters.extended.RegexPatternConverter.canConvert,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.Cloneables.cloneIfPossible,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.WeakCache.put,100.0,100.0,0.0
com.thoughtworks.xstream.converters.javabean.JavaBeanConverter.canConvert,100.0,50.0,50.0
com.thoughtworks.xstream.converters.collections.TreeMapConverter.populateTreeMap,72.22222,27.777779,44.444443
com.thoughtworks.xstream.converters.extended.FontConverter.canConvert,83.33333,50.0,33.33333
