GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jaxen,org.jaxen.function,BooleanFunction,1,74,1,19,0,19,1,12,0,3
jaxen,org.jaxen.function,CeilingFunction,0,30,0,2,0,7,0,4,0,3
jaxen,org.jaxen.function,StartsWithFunction,0,38,0,4,0,9,0,5,0,3
jaxen,org.jaxen.function,TrueFunction,0,15,0,2,0,5,0,4,0,3
jaxen,org.jaxen.function,ContainsFunction,0,38,0,4,0,9,0,5,0,3
jaxen,org.jaxen.function,ConcatFunction,0,38,0,4,0,10,0,5,0,3
jaxen,org.jaxen.function,NotFunction,0,28,0,4,0,5,0,5,0,3
jaxen,org.jaxen.function,PositionFunction,0,21,0,2,0,5,0,4,0,3
jaxen,org.jaxen.function,NameFunction,0,98,0,22,0,28,0,14,0,3
jaxen,org.jaxen.function,NormalizeSpaceFunction,0,106,1,21,0,25,1,14,0,4
jaxen,org.jaxen.function,StringFunction,8,203,2,40,4,58,2,25,0,6
jaxen,org.jaxen.function,FalseFunction,0,15,0,2,0,5,0,4,0,3
jaxen,org.jaxen.function,NumberFunction,0,128,3,27,0,28,3,18,0,6
jaxen,org.jaxen.function,CountFunction,0,33,0,4,0,7,0,5,0,3
jaxen,org.jaxen.function,RoundFunction,0,41,0,6,0,10,0,6,0,3
jaxen,org.jaxen.function,NamespaceUriFunction,0,100,0,24,0,30,0,15,0,3
jaxen,org.jaxen.function,SumFunction,0,53,0,6,0,16,0,6,0,3
jaxen,org.jaxen.function,TranslateFunction,6,227,1,29,2,53,1,20,0,6
jaxen,org.jaxen.function,SubstringFunction,2,170,1,35,1,41,1,20,0,3
jaxen,org.jaxen.function,LangFunction,8,116,2,22,3,28,2,15,0,5
jaxen,org.jaxen.function,IdFunction,2,86,1,11,0,24,1,8,0,3
jaxen,org.jaxen.function,SubstringBeforeFunction,0,43,0,4,0,12,0,5,0,3
jaxen,org.jaxen.function,SubstringAfterFunction,0,45,0,4,0,12,0,5,0,3
jaxen,org.jaxen.function,LastFunction,0,21,0,2,0,5,0,4,0,3
jaxen,org.jaxen.function,LocalNameFunction,0,98,0,22,0,28,0,14,0,3
jaxen,org.jaxen.function,FloorFunction,0,30,0,2,0,7,0,4,0,3
jaxen,org.jaxen.function,StringLengthFunction,13,88,1,13,2,21,1,9,0,3
jaxen,org.jaxen.saxpath.base,Verifier,1718,1143,759,385,205,367,559,20,1,6
jaxen,org.jaxen.saxpath.base,TokenTypes,78,6,34,2,35,3,35,2,1,1
jaxen,org.jaxen.saxpath.base,XPathReader,34,1252,17,152,7,387,17,121,0,40
jaxen,org.jaxen.saxpath.base,XPathLexer,0,949,13,89,0,271,13,85,0,35
jaxen,org.jaxen.saxpath.base,Token,17,48,0,0,1,19,1,9,1,9
jaxen,org.jaxen.saxpath.helpers,DefaultXPathHandler,44,3,0,0,44,1,44,1,44,1
jaxen,org.jaxen.saxpath.helpers,XPathReaderFactory,13,58,0,6,5,19,0,5,0,2
jaxen,org.jaxen.saxpath,Axis,0,113,0,40,0,42,0,28,0,2
jaxen,org.jaxen.saxpath,XPathSyntaxException,81,20,2,0,14,7,4,4,3,4
jaxen,org.jaxen.saxpath,SAXPathException,39,71,9,3,8,24,7,7,1,7
jaxen,org.jaxen.util,FollowingAxisIterator,6,104,2,16,2,29,2,13,0,6
jaxen,org.jaxen.util,PrecedingSiblingAxisIterator,0,98,1,13,0,30,1,11,0,5
jaxen,org.jaxen.util,LinkedIterator,74,0,8,0,19,0,9,0,5,0
jaxen,org.jaxen.util,FollowingSiblingAxisIterator,0,56,1,5,0,17,1,7,0,5
jaxen,org.jaxen.util,StackedIterator,115,0,12,0,37,0,16,0,10,0
jaxen,org.jaxen.util,DescendantOrSelfAxisIterator,0,8,0,0,0,2,0,1,0,1
jaxen,org.jaxen.util,PrecedingAxisIterator,12,139,1,15,4,36,1,12,0,5
jaxen,org.jaxen.util,SingletonList,0,25,0,2,0,7,0,4,0,3
jaxen,org.jaxen.util,AncestorAxisIterator,0,8,0,0,0,3,0,1,0,1
jaxen,org.jaxen.util,SingleObjectIterator,0,33,0,4,0,10,0,6,0,4
jaxen,org.jaxen.util,DescendantAxisIterator,6,74,0,6,2,19,0,8,0,5
jaxen,org.jaxen.util,SelfAxisIterator,0,4,0,0,0,2,0,1,0,1
jaxen,org.jaxen.util,AncestorOrSelfAxisIterator,6,40,0,4,2,11,0,6,0,4
jaxen,org.jaxen.dom4j,DocumentNavigator.Singleton,0,5,0,0,0,1,0,1,0,1
jaxen,org.jaxen.dom4j,DocumentNavigator,79,384,14,54,27,113,15,57,5,33
jaxen,org.jaxen.dom4j,Dom4jXPath,0,5,0,0,0,2,0,1,0,1
jaxen,org.jaxen.expr,IdentitySet.IdentityWrapper,1,21,1,1,0,6,1,3,0,3
jaxen,org.jaxen.expr,DefaultTruthExpr,27,60,6,18,2,9,6,16,2,8
jaxen,org.jaxen.expr,DefaultFilterExpr,91,67,10,4,21,23,10,8,4,7
jaxen,org.jaxen.expr,DefaultGreaterThanEqualExpr,0,15,0,2,0,4,0,4,0,3
jaxen,org.jaxen.expr,IdentitySet,0,29,0,0,0,8,0,3,0,3
jaxen,org.jaxen.expr,DefaultMultiplyExpr,0,34,0,0,0,9,0,3,0,3
jaxen,org.jaxen.expr,DefaultNotEqualsExpr,17,36,0,6,1,8,1,6,1,3
jaxen,org.jaxen.expr,DefaultAdditiveExpr,23,5,0,0,1,2,1,1,1,1
jaxen,org.jaxen.expr,DefaultFunctionCallExpr,52,178,5,13,6,49,5,14,1,9
jaxen,org.jaxen.expr,DefaultLessThanEqualExpr,0,17,0,2,0,4,0,4,0,3
jaxen,org.jaxen.expr,DefaultNumberExpr,12,16,0,0,1,6,1,4,1,4
jaxen,org.jaxen.expr,DefaultEqualsExpr,17,32,0,4,1,8,1,5,1,3
jaxen,org.jaxen.expr,DefaultAbsoluteLocationPath,2,68,1,3,1,17,1,6,0,5
jaxen,org.jaxen.expr,DefaultArithExpr,17,5,0,0,1,2,1,1,1,1
jaxen,org.jaxen.expr,DefaultMinusExpr,0,34,0,0,0,9,0,3,0,3
jaxen,org.jaxen.expr,DefaultDivExpr,0,34,0,0,0,9,0,3,0,3
jaxen,org.jaxen.expr,DefaultAndExpr,17,36,0,4,1,11,1,5,1,3
