GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Joda-Time,org.joda.time,MonthDay,18,471,4,27,3,108,4,57,0,45
Joda-Time,org.joda.time,DateTimeUtils,102,232,6,40,28,81,8,41,4,22
Joda-Time,org.joda.time,UTCDateTimeZone,13,24,0,0,4,9,4,8,4,8
Joda-Time,org.joda.time,MonthDay.Property,0,117,0,0,0,21,0,10,0,10
Joda-Time,org.joda.time,MutablePeriod,18,495,0,8,6,149,2,74,2,70
Joda-Time,org.joda.time,DateTimeComparator,9,262,6,42,0,55,4,34,0,14
Joda-Time,org.joda.time,DurationField,0,33,0,4,0,7,0,5,0,3
Joda-Time,org.joda.time,Weeks,0,280,1,34,0,68,1,46,0,27
Joda-Time,org.joda.time,Days,0,308,0,39,0,76,0,51,0,27
Joda-Time,org.joda.time,LocalTime,40,1006,8,92,7,214,8,115,1,69
Joda-Time,org.joda.time,TimeOfDay,0,576,1,22,0,131,1,67,0,55
Joda-Time,org.joda.time,Duration,0,288,0,34,0,72,0,49,0,32
Joda-Time,org.joda.time,PeriodType,0,1642,3,101,0,248,3,89,0,40
Joda-Time,org.joda.time,Instant,0,147,1,9,0,35,1,27,0,23
Joda-Time,org.joda.time,LocalDate.Property,77,83,0,0,12,15,7,12,7,12
Joda-Time,org.joda.time,DurationFieldType.StandardDurationFieldType,10,97,4,28,3,35,4,28,0,5
Joda-Time,org.joda.time,DateTimeUtils.OffsetMillisProvider,0,11,0,0,0,4,0,2,0,2
Joda-Time,org.joda.time,DateTimeFieldType.StandardDateTimeFieldType,8,166,3,51,2,62,3,53,0,7
Joda-Time,org.joda.time,YearMonthDay.Property,0,127,0,0,0,23,0,12,0,12
Joda-Time,org.joda.time,LocalTime.Property,38,163,0,2,8,25,3,19,3,18
Joda-Time,org.joda.time,LocalDateTime,83,1554,14,104,14,314,15,165,4,114
Joda-Time,org.joda.time,Seconds,0,280,1,34,0,68,1,46,0,27
Joda-Time,org.joda.time,DateTime.Property,4,211,2,2,2,36,2,20,0,20
Joda-Time,org.joda.time,DateTime,15,1138,4,68,5,218,4,139,1,106
Joda-Time,org.joda.time,Minutes,0,280,1,34,0,68,1,46,0,27
Joda-Time,org.joda.time,DateTimeFieldType,0,248,0,0,0,75,0,28,0,28
Joda-Time,org.joda.time,DateTimeUtils.FixedMillisProvider,0,9,0,0,0,4,0,2,0,2
Joda-Time,org.joda.time,Partial,2,1169,5,111,2,247,5,86,0,33
Joda-Time,org.joda.time,DateTimeUtils.SystemMillisProvider,0,5,0,0,0,2,0,2,0,2
Joda-Time,org.joda.time,LocalDateTime.Property,38,133,0,0,8,20,3,17,3,17
Joda-Time,org.joda.time,DateTimeZone.LazyInit.new BaseChronology() {...},6,7,0,0,2,3,2,3,2,3
Joda-Time,org.joda.time,Partial.Property,0,127,0,0,0,23,0,12,0,12
Joda-Time,org.joda.time,DateTimeField,0,8,0,0,0,2,0,2,0,2
Joda-Time,org.joda.time,YearMonthDay,0,547,1,23,0,122,1,64,0,52
Joda-Time,org.joda.time,DateTimeZone.LazyInit,3,193,0,0,1,42,1,3,1,3
Joda-Time,org.joda.time,DateTimeConstants,0,3,0,0,0,2,0,1,0,1
Joda-Time,org.joda.time,TimeOfDay.Property,0,148,0,0,0,26,0,13,0,13
Joda-Time,org.joda.time,MutableInterval,6,236,0,10,2,71,0,32,0,27
Joda-Time,org.joda.time,Chronology,0,3,0,0,0,1,0,1,0,1
Joda-Time,org.joda.time,JodaTimePermission,4,0,0,0,2,0,1,0,1,0
Joda-Time,org.joda.time,Months,0,301,0,44,0,78,0,50,0,21
Joda-Time,org.joda.time,Interval,24,453,2,46,2,107,2,47,0,25
Joda-Time,org.joda.time,Hours,0,315,1,39,0,78,1,51,0,27
Joda-Time,org.joda.time,DateMidnight,2,710,2,48,1,139,2,90,0,67
Joda-Time,org.joda.time,YearMonth.Property,0,117,0,0,0,21,0,10,0,10
Joda-Time,org.joda.time,IllegalInstantException,3,59,3,5,1,11,3,5,0,4
Joda-Time,org.joda.time,DateMidnight.Property,0,171,0,0,0,28,0,20,0,20
Joda-Time,org.joda.time,LocalDate,88,1399,18,106,16,283,15,146,1,96
Joda-Time,org.joda.time,IllegalFieldValueException,23,410,4,12,5,116,3,25,1,19
Joda-Time,org.joda.time,Period,0,1789,0,64,0,288,0,119,0,87
Joda-Time,org.joda.time,DurationFieldType,0,114,0,0,0,30,0,17,0,17
Joda-Time,org.joda.time,YearMonth,18,473,4,27,3,107,4,59,0,47
Joda-Time,org.joda.time,MutableDateTime.Property,0,184,0,0,0,37,0,18,0,18
Joda-Time,org.joda.time,DateTimeZone.Stub,0,20,0,0,0,8,0,4,0,4
Joda-Time,org.joda.time,Years,0,238,1,34,0,60,1,40,0,21
Joda-Time,org.joda.time,DateTimeZone,163,1093,32,170,37,286,31,110,0,40
Joda-Time,org.joda.time,MutableDateTime,6,878,4,59,2,208,4,114,0,84
Joda-Time,org.joda.time.chrono,LimitChronology.LimitDurationField,27,94,0,0,5,20,2,7,2,7
Joda-Time,org.joda.time.chrono,BasicGJChronology,0,457,2,78,0,54,2,48,0,10
Joda-Time,org.joda.time.chrono,BasicChronology.YearInfo,0,9,0,0,0,4,0,1,0,1
Joda-Time,org.joda.time.chrono,LimitChronology.LimitException,87,10,4,0,19,4,4,1,2,1
Joda-Time,org.joda.time.chrono,GJLocaleSymbols,2,421,1,37,1,95,1,42,0,24
Joda-Time,org.joda.time.chrono,LenientChronology,23,220,7,9,7,43,6,11,0,9
Joda-Time,org.joda.time.chrono,BasicChronology.HalfdayField,0,23,0,0,0,5,0,4,0,4
Joda-Time,org.joda.time.chrono,BasicYearDateTimeField,4,181,0,10,1,41,1,23,1,18
Joda-Time,org.joda.time.chrono,GJDayOfWeekDateTimeField,4,44,0,0,1,12,1,10,1,10
Joda-Time,org.joda.time.chrono,CopticChronology,15,262,3,27,3,66,3,27,0,15
Joda-Time,org.joda.time.chrono,GJCacheKey,26,83,14,10,10,21,12,3,0,3
Joda-Time,org.joda.time.chrono,ZonedChronology,56,506,18,32,17,89,17,24,2,14
Joda-Time,org.joda.time.chrono,StrictChronology,35,183,11,5,11,39,9,8,1,8
Joda-Time,org.joda.time.chrono,GJChronology.LinkedDurationField,6,27,0,0,1,6,1,4,1,4
Joda-Time,org.joda.time.chrono,AssembledChronology,70,619,43,61,1,110,43,53,0,44
Joda-Time,org.joda.time.chrono,BasicMonthOfYearDateTimeField,67,576,12,46,12,114,11,36,1,17
Joda-Time,org.joda.time.chrono,IslamicChronology,146,412,26,40,30,97,25,40,8,24
