class,missed_stmt,covered_stmt,total_stmt
com.thoughtworks.xstream.XStream,265,379,644
com.thoughtworks.xstream.io.json.JsonWriter,96,0,96
com.thoughtworks.xstream.converters.extended.StackTraceElementFactory,11,1,12
com.thoughtworks.xstream.converters.basic.StringBuilderConverter,1,1,2
com.thoughtworks.xstream.io.xml.JDomDriver,32,0,32
com.thoughtworks.xstream.io.json.JettisonMappedXmlDriver,41,0,41
com.thoughtworks.xstream.converters.reflection.XStream12FieldKeySorter,11,0,11
com.thoughtworks.xstream.converters.time.ValueRangeConverter,24,0,24
com.thoughtworks.xstream.mapper.SystemAttributeAliasingMapper,0,7,7
com.thoughtworks.xstream.converters.time.ChronologyConverter,9,0,9
com.thoughtworks.xstream.security.ProxyTypePermission,3,0,3
com.thoughtworks.xstream.converters.extended.EncodedByteArrayConverter,15,9,24
com.thoughtworks.xstream.io.xml.Dom4JDriver,42,0,42
com.thoughtworks.xstream.converters.ErrorReporter,0,0,0
com.thoughtworks.xstream.io.xml.XppReader,30,19,49
com.thoughtworks.xstream.converters.extended.CurrencyConverter,1,1,2
com.thoughtworks.xstream.security.NoPermission,3,1,4
com.thoughtworks.xstream.converters.reflection.SelfStreamingInstanceChecker,1,0,1
com.thoughtworks.xstream.core.util.Base64Encoder,40,0,40
com.thoughtworks.xstream.converters.Converter,0,0,0
com.thoughtworks.xstream.converters.time.JapaneseDateConverter,4,0,4
com.thoughtworks.xstream.core.util.Cloneables,12,7,19
com.thoughtworks.xstream.core.util.SerializationMembers,71,34,105
com.thoughtworks.xstream.security.TypePermission,0,0,0
com.thoughtworks.xstream.converters.basic.BigDecimalConverter,1,1,2
com.thoughtworks.xstream.converters.SingleValueConverter,0,0,0
com.thoughtworks.xstream.converters.MarshallingContext,0,0,0
com.thoughtworks.xstream.io.xml.XomReader,27,0,27
com.thoughtworks.xstream.mapper.OuterClassMapper,28,9,37
com.thoughtworks.xstream.persistence.PersistenceStrategy,0,0,0
com.thoughtworks.xstream.io.json.AbstractJsonWriter,274,0,274
com.thoughtworks.xstream.io.HierarchicalStreamReader,0,0,0
com.thoughtworks.xstream.persistence.StreamStrategy,0,0,0
com.thoughtworks.xstream.core.util.CompositeClassLoader,11,35,46
com.thoughtworks.xstream.io.binary.ReaderDepthState,16,24,40
com.thoughtworks.xstream.security.WildcardTypePermission,12,26,38
com.thoughtworks.xstream.converters.ConverterLookup,0,0,0
com.thoughtworks.xstream.io.binary.BinaryStreamReader,24,66,90
com.thoughtworks.xstream.mapper.ClassAliasingMapper,13,18,31
com.thoughtworks.xstream.converters.time.MinguoDateConverter,4,0,4
com.thoughtworks.xstream.io.xml.CompactWriter,6,0,6
com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,31,404,435
com.thoughtworks.xstream.io.ReaderWrapper,9,8,17
com.thoughtworks.xstream.converters.time.LocalDateTimeConverter,11,0,11
com.thoughtworks.xstream.mapper.CannotResolveClassException,1,1,2
com.thoughtworks.xstream.io.json.JsonHierarchicalStreamDriver,10,0,10
com.thoughtworks.xstream.core.util.ThreadSafePropertyEditor,23,0,23
com.thoughtworks.xstream.converters.reflection.FieldDictionary,17,55,72
com.thoughtworks.xstream.io.AbstractReader,3,5,8
com.thoughtworks.xstream.io.xml.XmlFriendlyWriter,0,0,0
com.thoughtworks.xstream.mapper.AnnotationConfiguration,0,0,0
com.thoughtworks.xstream.mapper.EnumMapper,6,30,36
com.thoughtworks.xstream.io.naming.NameCoder,0,0,0
com.thoughtworks.xstream.core.util.FastStack,12,15,27
com.thoughtworks.xstream.io.xml.StaxReader,33,0,33
com.thoughtworks.xstream.converters.extended.PathConverter,15,1,16
com.thoughtworks.xstream.converters.ConversionException,1,2,3
com.thoughtworks.xstream.io.xml.XmlFriendlyReader,0,0,0
com.thoughtworks.xstream.mapper.MapperWrapper,9,81,90
com.thoughtworks.xstream.mapper.Mapper,0,0,0
com.thoughtworks.xstream.io.StatefulWriter,41,0,41
com.thoughtworks.xstream.io.xml.JDomWriter,19,0,19
com.thoughtworks.xstream.converters.extended.FileConverter,2,1,3
com.thoughtworks.xstream.converters.extended.ISO8601GregorianCalendarConverter,8,0,8
com.thoughtworks.xstream.core.util.ObjectIdDictionary,13,12,25
com.thoughtworks.xstream.mapper.CGLIBMapper,9,0,9
com.thoughtworks.xstream.converters.extended.SqlTimestampConverter,23,3,26
com.thoughtworks.xstream.core.util.SelfStreamingInstanceChecker,8,3,11
com.thoughtworks.xstream.converters.UnmarshallingContext,0,0,0
com.thoughtworks.xstream.mapper.SecurityMapper,1,11,12
com.thoughtworks.xstream.converters.extended.ColorConverter,14,1,15
com.thoughtworks.xstream.core.ReferenceByIdMarshaller,8,0,8
com.thoughtworks.xstream.converters.extended.DurationConverter,2,5,7
com.thoughtworks.xstream.converters.basic.DoubleConverter,1,1,2
com.thoughtworks.xstream.core.util.ISO8601JavaTimeConverter,91,0,91
com.thoughtworks.xstream.io.xml.Xpp3DomDriver,3,0,3
com.thoughtworks.xstream.converters.collections.CharArrayConverter,0,4,4
com.thoughtworks.xstream.converters.extended.LookAndFeelConverter,0,2,2
com.thoughtworks.xstream.converters.reflection.LambdaConverter,4,0,4
com.thoughtworks.xstream.converters.collections.ArrayConverter,13,2,15
com.thoughtworks.xstream.converters.time.OffsetDateTimeConverter,11,0,11
com.thoughtworks.xstream.converters.time.ZonedDateTimeConverter,11,0,11
com.thoughtworks.xstream.core.util.TypedNull,3,0,3
com.thoughtworks.xstream.converters.extended.JavaMethodConverter,45,3,48
com.thoughtworks.xstream.converters.enums.EnumConverter,5,7,12
com.thoughtworks.xstream.annotations.XStreamAsAttribute,0,0,0
com.thoughtworks.xstream.converters.collections.MapConverter,5,23,28
com.thoughtworks.xstream.io.json.JsonHierarchicalStreamWriter,5,0,5
com.thoughtworks.xstream.XStreamer,47,0,47
