method,missed_stmt,covered_stmt,total_stmts
com.thoughtworks.xstream.mapper.PackageAliasingMapper.<init>,0,1,1
com.thoughtworks.xstream.io.json.JsonWriter.startArray,4,0,4
com.thoughtworks.xstream.converters.reflection.FieldDictionary.fieldsFor,0,1,1
com.thoughtworks.xstream.core.util.Base64Encoder.decode,11,0,11
com.thoughtworks.xstream.core.ReferenceByIdMarshaller.fireValidReference,3,0,3
com.thoughtworks.xstream.io.xml.XppDomReader.reassignCurrentElement,1,0,1
com.thoughtworks.xstream.security.ArrayTypePermission.equals,0,1,1
com.thoughtworks.xstream.converters.reflection.FieldDictionary.readResolve,2,0,2
com.thoughtworks.xstream.core.util.XmlHeaderAwareReader.mark,1,0,1
com.thoughtworks.xstream.io.json.JsonWriter.writeNewLine,5,0,5
com.thoughtworks.xstream.mapper.DefaultMapper.serializedMember,0,1,1
com.thoughtworks.xstream.converters.reflection.SerializableConverter.flush,1,0,1
com.thoughtworks.xstream.converters.basic.StringBufferConverter.canConvert,0,1,1
com.thoughtworks.xstream.converters.reflection.SerializationMethodInvoker.supportsWriteObject,1,0,1
com.thoughtworks.xstream.io.xml.XppReader.<init>,10,6,16
com.thoughtworks.xstream.core.JVM.loadClassForName,1,5,6
com.thoughtworks.xstream.converters.reflection.ObjectAccessException.<init>,2,0,2
com.thoughtworks.xstream.converters.extended.ThrowableConverter.marshal,6,0,6
com.thoughtworks.xstream.io.naming.NameCoderWrapper.decodeNode,1,0,1
com.thoughtworks.xstream.converters.ConverterRegistry.null,0,0,0
com.thoughtworks.xstream.io.xml.StaxWriter.setValue,3,0,3
com.thoughtworks.xstream.io.xml.DomReader.getAttributeCount,1,0,1
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.flush,1,0,1
com.thoughtworks.xstream.XStream.aliasSystemAttribute,3,0,3
com.thoughtworks.xstream.converters.reflection.Sun14ReflectionProvider.<init>,2,0,2
com.thoughtworks.xstream.io.xml.xppdom.XppDom.getAttribute,1,0,1
com.thoughtworks.xstream.io.path.PathTrackingWriter.<init>,0,3,3
com.thoughtworks.xstream.converters.reflection.ReflectionConverter.<init>,2,1,3
com.thoughtworks.xstream.io.xml.TraxSource.createXMLReader,11,0,11
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.pushCallback,1,0,1
com.thoughtworks.xstream.converters.reflection.ReflectionProviderWrapper.getField,1,0,1
com.thoughtworks.xstream.converters.collections.AbstractCollectionConverter.writeNullItem,3,0,3
com.thoughtworks.xstream.io.ReaderWrapper.getValue,0,1,1
com.thoughtworks.xstream.io.binary.BinaryStreamReader.put,0,1,1
