class,sc(%),scc(%),gap(pp)
com.thoughtworks.xstream.XStream,58.850933,4.968944,53.88199
com.thoughtworks.xstream.mapper.EnumMapper,83.33333,2.777778,80.55555
com.thoughtworks.xstream.mapper.ImmutableTypesMapper,91.66667,8.333334,83.333336
com.thoughtworks.xstream.core.AbstractReferenceUnmarshaller,74.19355,32.258064,41.935486
com.thoughtworks.xstream.core.ReferenceByXPathMarshallingStrategy,100.0,33.333336,66.666664
com.thoughtworks.xstream.core.AbstractTreeMarshallingStrategy,100.0,50.0,50.0
com.thoughtworks.xstream.io.xml.AbstractXppDriver,40.0,10.0,30.0
com.thoughtworks.xstream.mapper.DefaultImplementationsMapper,76.0,4.0,72.0
com.thoughtworks.xstream.core.ReferenceByXPathUnmarshaller,66.66667,33.333336,33.333336
com.thoughtworks.xstream.mapper.AttributeMapper,46.666668,2.2222223,44.444447
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper,11.4754095,0.8196721,10.655737
com.thoughtworks.xstream.mapper.MapperWrapper,90.0,35.555557,54.444443
com.thoughtworks.xstream.io.path.PathTrackingReader,77.77778,11.111112,66.666664
com.thoughtworks.xstream.mapper.LocalConversionMapper,100.0,6.666667,93.333336
com.thoughtworks.xstream.mapper.ArrayMapper,84.61539,2.5641026,82.051285
com.thoughtworks.xstream.core.JVM,50.81967,1.0928961,49.726776
com.thoughtworks.xstream.mapper.SecurityMapper,91.66667,16.666668,75.0
com.thoughtworks.xstream.mapper.CachingMapper,66.66667,5.555556,61.111115
com.thoughtworks.xstream.core.TreeUnmarshaller,43.137257,15.6862755,27.450981
com.thoughtworks.xstream.mapper.OuterClassMapper,24.324326,5.4054055,18.91892
com.thoughtworks.xstream.core.ClassLoaderReference,60.000004,60.000004,0.0
com.thoughtworks.xstream.mapper.AnnotationMapper,44.32624,0.3546099,43.97163
com.thoughtworks.xstream.core.util.PrioritizedList,87.5,12.5,75.0
com.thoughtworks.xstream.core.util.CompositeClassLoader,76.08696,32.608696,43.478264
com.thoughtworks.xstream.io.ReaderWrapper,47.058823,11.764706,35.294117
