method,sc(%),scc(%),gap(pp)
com.thoughtworks.xstream.core.JVM.isVersion,75.0,50.0,25.0
com.thoughtworks.xstream.mapper.MapperWrapper.aliasForSystemAttribute,100.0,100.0,0.0
com.thoughtworks.xstream.core.ClassLoaderReference.getReference,100.0,100.0,0.0
com.thoughtworks.xstream.core.TreeUnmarshaller.start,75.0,50.0,25.0
com.thoughtworks.xstream.mapper.MapperWrapper.isReferenceable,100.0,100.0,0.0
com.thoughtworks.xstream.mapper.ImmutableTypesMapper.<init>,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.CompositeClassLoader.loadClass,100.0,100.0,0.0
com.thoughtworks.xstream.mapper.CachingMapper.<init>,100.0,50.0,50.0
com.thoughtworks.xstream.XStream.unmarshal,45.454548,18.181818,27.27273
com.thoughtworks.xstream.core.TreeUnmarshaller.<init>,100.0,25.0,75.0
com.thoughtworks.xstream.core.AbstractReferenceUnmarshaller.convert,73.333336,30.000002,43.333336
com.thoughtworks.xstream.core.util.CompositeClassLoader.add,65.0,15.000001,50.0
com.thoughtworks.xstream.mapper.AttributeMapper.<init>,75.0,25.0,50.0
com.thoughtworks.xstream.io.path.PathTrackingReader.<init>,100.0,33.333336,66.666664
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper.<init>,100.0,50.0,50.0
com.thoughtworks.xstream.io.ReaderWrapper.getAttribute,50.0,50.0,0.0
com.thoughtworks.xstream.core.util.CompositeClassLoader.addAll,100.0,50.0,50.0
com.thoughtworks.xstream.io.ReaderWrapper.<init>,100.0,100.0,0.0
com.thoughtworks.xstream.XStream.fromXML,15.384616,15.384616,0.0
com.thoughtworks.xstream.mapper.EnumMapper.<init>,50.0,25.0,25.0
com.thoughtworks.xstream.XStream.buildMapper,92.59259,59.25926,33.333332
com.thoughtworks.xstream.core.ReferenceByXPathMarshallingStrategy.createUnmarshallingContext,100.0,100.0,0.0
com.thoughtworks.xstream.core.ReferenceByXPathUnmarshaller.<init>,100.0,66.66667,33.33333
com.thoughtworks.xstream.core.ClassLoaderReference.setReference,100.0,100.0,0.0
com.thoughtworks.xstream.XStream.toXML,63.636364,18.181818,45.454544
com.thoughtworks.xstream.core.TreeUnmarshaller.getMapper,100.0,100.0,0.0
com.thoughtworks.xstream.mapper.ArrayMapper.<init>,100.0,100.0,0.0
com.thoughtworks.xstream.io.xml.AbstractXppDriver.createReader,28.57143,14.285715,14.285715
com.thoughtworks.xstream.core.util.PrioritizedList.hasNext,100.0,100.0,0.0
com.thoughtworks.xstream.XStream.wrapMapper,100.0,100.0,0.0
com.thoughtworks.xstream.mapper.DefaultImplementationsMapper.<init>,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.PrioritizedList.iterator,100.0,100.0,0.0
com.thoughtworks.xstream.mapper.AnnotationMapper.<init>,87.5,12.5,75.0
com.thoughtworks.xstream.mapper.MapperWrapper.<init>,100.0,46.153847,53.846153
com.thoughtworks.xstream.XStream.<init>,76.92308,23.076923,53.846157
com.thoughtworks.xstream.core.ClassLoaderReference.<init>,100.0,100.0,0.0
com.thoughtworks.xstream.core.TreeUnmarshaller.convertAnother,50.0,20.0,30.0
com.thoughtworks.xstream.core.util.CompositeClassLoader.<init>,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.CompositeClassLoader.addInternal,70.0,70.0,0.0
com.thoughtworks.xstream.mapper.SecurityMapper.<init>,100.0,66.66667,33.33333
com.thoughtworks.xstream.XStream.buildMapperDynamically,66.66667,50.0,16.666672
com.thoughtworks.xstream.core.AbstractReferenceUnmarshaller.<init>,100.0,100.0,0.0
com.thoughtworks.xstream.mapper.LocalConversionMapper.<init>,100.0,50.0,50.0
com.thoughtworks.xstream.core.AbstractTreeMarshallingStrategy.unmarshal,100.0,100.0,0.0
com.thoughtworks.xstream.mapper.OuterClassMapper.<init>,100.0,40.0,60.0
